sistema,region,provincia,municipio,gruposDeServicios,subgrupoDeServicios,cantidadServicios,poblacionUsuaria,valorAutorizado,mes,year
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Hombro,1,1,170,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Rodilla,5,5,332752.17,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Trasplante de Cornea,3,3,22440,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Politraumatismo (Trauma Mayor),1,1,31950,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Quemaduras Graves (3er Grado),1,1,300,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,11474,474,14471683.15,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Pediatricos,29,6,94665.76,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Valvuloplastia Mitral,3,3,234445,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Rehabilitacion,Terapias Rehabilitacion,20,6,3780,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Hemoterapia,Derivados de la Sangre,4,1,3200,Enero,2018
AUTORIZACIONES,REGION 0,DISTRITO NACIONAL,DISTRITO NACIONAL,Hemoterapia,Sangre Total,262,168,453540,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MAJAGUAL,Atencion Ambulatoria,Consulta medica nivel 2,2,2,400,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MAJAGUAL,Hospitalizacion,Hospitalizacion general y especialidades basicas,2,1,1900,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MAJAGUAL,Cirugia,Cirugias Oftalmologicas,4,1,5600,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MAJAGUAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,2,2,1000,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MAJAGUAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,2,1,1500,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MAJAGUAL,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),4,1,7750,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MAJAGUAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,3,1,2700,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MAJAGUAL,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Pediatricos,3,1,2700,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Atencion Ambulatoria,Consulta medica nivel 2,355,288,102188,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Atencion Ambulatoria,Consulta medica nivel 3,43,38,12364,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Emergencia,Emergencia,24,22,6930,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Hospitalizacion,Hospitalizacion general y especialidades basicas,55,3,25646,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Cirugia,Cirugia General,2,2,1650,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Cirugia,Cirugias Ginecologicas,10,5,9286,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Cirugia,Cirugias Oftalmologicas,46,10,151726.44,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Cirugia,Cirugias Ortopedicas,46,2,320298.3,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Cirugia,Cirugias Otorrinolaringologicas,1,1,3500,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Cirugia,Cirugias Urologicas,1,1,4500,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Cirugia,Hematologia,1,1,702,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,103,90,35355,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,96,79,60476,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,1215,135,144537.6,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,47,34,70233,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,59,53,37395,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),14,11,44599,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),26,12,50712,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,1,1,175000,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Columna: Espondiolistesis Total,17,1,93515.54,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,24,2,9597.6,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,541,33,1084144.5,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,MONTE PLATA,Hemoterapia,Sangre Total,17,13,28070,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Atencion Ambulatoria,Consulta medica nivel 2,228,177,64312,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Atencion Ambulatoria,Consulta medica nivel 3,10,10,3266,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Emergencia,Emergencia,6,5,1800,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Hospitalizacion,Hospitalizacion general y especialidades basicas,16,4,11377.52,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Cirugia,Cirugia General,10,3,25861,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Cirugia,Cirugias Dermatologicas,1,1,2125,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Cirugia,Cirugias Ginecologicas,34,7,66035.38,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Cirugia,Cirugias Oftalmologicas,16,4,71600,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Cirugia,Cirugias Ortopedicas,13,1,22656,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Cirugia,Cirugias Urologicas,3,1,20100,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,56,48,34896,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,69,55,41936,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,675,73,81141.2,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,27,17,37401,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,33,32,19979,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),4,3,14000,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),14,9,24860,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,24,1,9597.6,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Trasplante de Cornea,1,1,7480,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,266,15,128776.85,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,BAYAGUANA,Hemoterapia,Sangre Total,5,3,8750,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Atencion Ambulatoria,Consulta medica nivel 2,136,108,39012,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Atencion Ambulatoria,Consulta medica nivel 3,20,13,5266,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Emergencia,Emergencia,10,10,2820,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Hospitalizacion,Hospitalizacion general y especialidades basicas,51,4,18363,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Cirugia,Cirugia General,3,2,1507,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Cirugia,Cirugias Dermatologicas,2,1,1995,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Cirugia,Cirugias Ginecologicas,25,4,40403.87,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Cirugia,Cirugias Oftalmologicas,21,7,188840,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Cirugia,Cirugias Ortopedicas,23,1,74757.37,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Cirugia,Cirugias Otorrinolaringologicas,3,1,18600.93,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,41,31,31723,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,27,24,18130,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,295,39,33405,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,22,16,29990,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,21,21,12602,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),5,3,16033,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),12,4,25622,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,7,1,289570,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,1,1,2450,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,1,1,9047.2,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Trasplante de Cornea,2,2,14960,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,SABANA GRANDE DE BOYA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,469,18,548154.76,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Atencion Ambulatoria,Consulta medica nivel 2,257,210,74680,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Atencion Ambulatoria,Consulta medica nivel 3,51,45,14898,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Emergencia,Emergencia,27,21,7560,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Hospitalizacion,Hospitalizacion general y especialidades basicas,116,6,79159.68,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Cirugia,Cirugia General,8,3,65889,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Cirugia,Cirugias Dermatologicas,9,2,13696,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Cirugia,Cirugias Ginecologicas,11,3,13637,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Cirugia,Cirugias Oftalmologicas,38,9,141691.8,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Cirugia,Cirugias Ortopedicas,15,3,37197,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Cirugia,Cirugias Otorrinolaringologicas,1,1,9657.9,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Cirugia,Neurocirugias,8,2,104170,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,72,63,35753,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,73,64,51238,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,949,104,107626.6,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,39,32,33571,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,48,42,25528,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),7,6,28560,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),10,8,16108,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,1,1,45000,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,30,3,39150,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,9,5,614231,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,593,19,667634.32,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,YAMASA,Hemoterapia,Sangre Total,13,9,22750,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Atencion Ambulatoria,Consulta medica nivel 2,36,32,10250,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Atencion Ambulatoria,Consulta medica nivel 3,7,7,2210,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Emergencia,Emergencia,2,2,600,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Cirugia,Cirugias Oftalmologicas,4,1,22000,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,11,8,9938,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,11,7,5750,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,141,16,17317.8,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,1,1,210,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,9,6,7314,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),1,1,4200,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,1,1,25000,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,DON JUAN,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,85,2,26032,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Atencion Ambulatoria,Consulta medica nivel 2,70,48,20222,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Atencion Ambulatoria,Consulta medica nivel 3,14,12,4266,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Emergencia,Emergencia,3,2,810,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Hospitalizacion,Hospitalizacion general y especialidades basicas,2,1,1200,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Cirugia,Cirugias Ginecologicas,9,1,34137,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,19,16,8876,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,19,19,12004,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,284,32,31993.8,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,4,3,4020,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,11,11,7226,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),1,1,3500,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),6,3,10082,Enero,2018
AUTORIZACIONES,REGION 0,MONTE PLATA,ESPERALVILLO,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,68,2,54304.7,Enero,2018
