,Region,time,subgrupo,cantidadServiciosTotal,poblacionTotal,valorTotal,gastoPerCapitaTotal,valorPct,gastoPerCapitaPct
36,REGION 0,2017-04-01,Hemodialisis Renal,647288,199194,263604507.31499997,12416562.245529853,3.2854754716507,4.782144187194688
37,REGION 0,2017-04-01,Hospitalizacion general y especialidades basicas,647288,199194,263604507.31499997,12416562.245529853,14.865503799285824,2.21010527973894
38,REGION 0,2017-04-01,Laboratorios,647288,199194,263604507.31499997,12416562.245529853,9.373242446296368,0.20892850022183407
39,REGION 0,2017-04-01,Neumologia,647288,199194,263604507.31499997,12416562.245529853,0.0722720001795505,0.5504231524143333
40,REGION 0,2017-04-01,Neurocirugias,647288,199194,263604507.31499997,12416562.245529853,0.44393931345096144,1.8804883104209773
41,REGION 0,2017-04-01,Otros Medios Dx,647288,199194,263604507.31499997,12416562.245529853,2.8562083542080505,0.3174151024743145
42,REGION 0,2017-04-01,Rayos X,647288,199194,263604507.31499997,12416562.245529853,1.6721579516592648,0.12960597186565148
43,REGION 0,2017-04-01,Reemplazo Articular Cadera,647288,199194,263604507.31499997,12416562.245529853,0.5961588881794423,4.776700225916871
44,REGION 0,2017-04-01,Reemplazo Articular Hombro,647288,199194,263604507.31499997,12416562.245529853,0.06323619489586574,1.3380283800089554
45,REGION 0,2017-04-01,Reemplazo Articular Rodilla,647288,199194,263604507.31499997,12416562.245529853,0.7122804913788203,5.8361453042715485
46,REGION 0,2017-04-01,Resonancia Nuclear Magnetica (RNM),647288,199194,263604507.31499997,12416562.245529853,2.093048452091488,1.0677821662274154
47,REGION 0,2017-04-01,Sangre Total,647288,199194,263604507.31499997,12416562.245529853,0.5668780155622811,0.34380790925391497
48,REGION 0,2017-04-01,Terapias Rehabilitacion,647288,199194,263604507.31499997,12416562.245529853,1.8286902788955832,0.3577739320455489
49,REGION 0,2017-04-01,Tomografia Axial Computarizada (TAC),647288,199194,263604507.31499997,12416562.245529853,1.8693157147391484,0.6591256581400603
50,REGION 0,2017-04-01,Trasplante Renal,647288,199194,263604507.31499997,12416562.245529853,0.0,0.0
51,REGION 0,2017-04-01,Trasplante de Cornea,647288,199194,263604507.31499997,12416562.245529853,0.3487157747653933,5.274085964514262
52,REGION 0,2017-04-01,Tratamiento a Politraumatismo (Trauma Mayor),647288,199194,263604507.31499997,12416562.245529853,0.05531961554274308,0.9632537383127836
53,REGION 0,2017-04-01,Tratamiento a Quemaduras Graves (3er Grado),647288,199194,263604507.31499997,12416562.245529853,0.008811404720118871,0.11831882053576485
54,REGION 0,2017-04-01,Tratamiento de la Gingivitis,647288,199194,263604507.31499997,12416562.245529853,0.00030233549802228664,0.006418604314466518
55,REGION 0,2017-04-01,Tratamiento de la Osteomielitis,647288,199194,263604507.31499997,12416562.245529853,0.0011635688749186519,0.024702650696284682
56,REGION 0,2017-04-01,Tratamiento del Cancer Adultos,647288,199194,263604507.31499997,12416562.245529853,15.290462978250618,3.2701684198202288
57,REGION 0,2017-04-01,Tratamiento del Cancer Pediatricos,647288,199194,263604507.31499997,12416562.245529853,0.0999764429995403,1.1735657290370798
58,REGION 0,2017-04-01,Valvuloplastia Mitral,647288,199194,263604507.31499997,12416562.245529853,0.6382761535975674,3.9430229853645056
59,REGION 0,2018-04-01,Angiosplastia,784734,240209,302152290.92499983,17279884.164389953,3.895454713901737,18.326906100885747
60,REGION 0,2018-04-01,Aparatos y Protesis,784734,240209,302152290.92499983,17279884.164389953,0.09240875491799816,0.031467666393472336
61,REGION 0,2018-04-01,Aplicacion de Cariostaticos,784734,240209,302152290.92499983,17279884.164389953,0.0004964384004529455,0.008680613745612777
62,REGION 0,2018-04-01,Atencion de Prematuros,784734,240209,302152290.92499983,17279884.164389953,0.28494700052223354,0.5110286502192308
63,REGION 0,2018-04-01,Atencion de partos normal,784734,240209,302152290.92499983,17279884.164389953,1.4836728612171124,0.586281219670001
64,REGION 0,2018-04-01,Atencion de partos por Cesarea,784734,240209,302152290.92499983,17279884.164389953,3.3946944100933623,1.054139535022372
65,REGION 0,2018-04-01,Atencion en Unidad de Cuidados Intensivos,784734,240209,302152290.92499983,17279884.164389953,1.9285717351871512,4.918253371521213
66,REGION 0,2018-04-01,Biopsias,784734,240209,302152290.92499983,17279884.164389953,1.585701500171408,0.1572210037434276
67,REGION 0,2018-04-01,Cirugia General,784734,240209,302152290.92499983,17279884.164389953,2.9092069906502567,1.5599569478187578
68,REGION 0,2018-04-01,Cirugia de Corazon Abierto para By Pass,784734,240209,302152290.92499983,17279884.164389953,2.6635040347907313,6.9821277024815895
69,REGION 0,2018-04-01,Cirugias Cardiovasculares,784734,240209,302152290.92499983,17279884.164389953,0.387131905046634,6.713504131747268
70,REGION 0,2018-04-01,Cirugias Dermatologicas,784734,240209,302152290.92499983,17279884.164389953,0.2716898182326765,0.2937641701832678
71,REGION 0,2018-04-01,Cirugias Endocrinologicas,784734,240209,302152290.92499983,17279884.164389953,0.006797565537935365,0.09879888760201104
72,REGION 0,2018-04-01,Cirugias Gastricas,784734,240209,302152290.92499983,17279884.164389953,0.054702332222603206,0.6780834613934074
73,REGION 0,2018-04-01,Cirugias Ginecologicas,784734,240209,302152290.92499983,17279884.164389953,1.3896798687659997,0.9474091289087246
74,REGION 0,2018-04-01,Cirugias Menores,784734,240209,302152290.92499983,17279884.164389953,0.11704147564705415,0.16886490787886935
75,REGION 0,2018-04-01,Cirugias Oftalmologicas,784734,240209,302152290.92499983,17279884.164389953,3.7415734083598866,2.521419770486335
76,REGION 0,2018-04-01,Cirugias Ortopedicas,784734,240209,302152290.92499983,17279884.164389953,2.256259758656669,3.441861448707201
77,REGION 0,2018-04-01,Cirugias Otorrinolaringologicas,784734,240209,302152290.92499983,17279884.164389953,0.2635123922319141,0.5288360871697584
78,REGION 0,2018-04-01,Cirugias Pediatricas,784734,240209,302152290.92499983,17279884.164389953,0.1511993417628595,0.18235051024867435
79,REGION 0,2018-04-01,Cirugias Urologicas,784734,240209,302152290.92499983,17279884.164389953,0.17015732643497253,0.3659891152766326
80,REGION 0,2018-04-01,Cirugias Vasculares,784734,240209,302152290.92499983,17279884.164389953,0.41600605315681854,6.499385832966215
81,REGION 0,2018-04-01,Columna: Cirugia Escoliosis,784734,240209,302152290.92499983,17279884.164389953,0.0022457880359690353,0.039269360462403084
82,REGION 0,2018-04-01,Columna: Espondiolistesis Total,784734,240209,302152290.92499983,17279884.164389953,0.002517273649230069,0.0440164987660872
83,REGION 0,2018-04-01,"Consulta Preventiva, Terapia Fluorada",784734,240209,302152290.92499983,17279884.164389953,1.6547946681764853e-05,0.00028935379152042587
84,REGION 0,2018-04-01,Consulta medica nivel 2,784734,240209,302152290.92499983,17279884.164389953,7.781111944584211,0.06629639835240825
85,REGION 0,2018-04-01,Consulta medica nivel 3,784734,240209,302152290.92499983,17279884.164389953,0.4379784763334739,0.033588027690990084
86,REGION 0,2018-04-01,"Consulta, diagnostico, fichado y plan de tratamiento",784734,240209,302152290.92499983,17279884.164389953,0.0008369951431636662,0.014635514775103144
87,REGION 0,2018-04-01,Derivados de la Sangre,784734,240209,302152290.92499983,17279884.164389953,0.009895672115695382,0.0247301040486124
88,REGION 0,2018-04-01,Desconocido,784734,240209,302152290.92499983,17279884.164389953,0.3907845465560573,0.2057623756574374
89,REGION 0,2018-04-01,"Detec., control de placa Bacteriana y enseNanza higiene bucal",784734,240209,302152290.92499983,17279884.164389953,0.00014630701579215576,0.0025582926123486932
90,REGION 0,2018-04-01,Dialisis Peritoneal,784734,240209,302152290.92499983,17279884.164389953,0.04517179716961964,0.20538056271505248
91,REGION 0,2018-04-01,Ecografias,784734,240209,302152290.92499983,17279884.164389953,2.582275569089331,0.09881710220543867
92,REGION 0,2018-04-01,Emergencia,784734,240209,302152290.92499983,17279884.164389953,4.589434423134022,0.07942091403672458
93,REGION 0,2018-04-01,Hematologia,784734,240209,302152290.92499983,17279884.164389953,0.005251656358924894,0.0438833960219878
94,REGION 0,2018-04-01,Hemodialisis Renal,784734,240209,302152290.92499983,17279884.164389953,2.7927333246976938,2.804749021781516
95,REGION 0,2018-04-01,Hospitalizacion general y especialidades basicas,784734,240209,302152290.92499983,17279884.164389953,13.02089896441186,1.8212513440387448
96,REGION 0,2018-04-01,Laboratorios,784734,240209,302152290.92499983,17279884.164389953,10.955555368672226,0.17400553484820624
97,REGION 0,2018-04-01,Neumologia,784734,240209,302152290.92499983,17279884.164389953,0.07190506129702948,0.5061905537167201
98,REGION 0,2018-04-01,Neurocirugias,784734,240209,302152290.92499983,17279884.164389953,1.5097020135228023,12.636195889552052
99,REGION 0,2018-04-01,Otros Medios Dx,784734,240209,302152290.92499983,17279884.164389953,3.268076826348161,0.2973388476320359
100,REGION 0,2018-04-01,Rayos X,784734,240209,302152290.92499983,17279884.164389953,1.8150330693210848,0.0908890507795828
101,REGION 0,2018-04-01,Reemplazo Articular Cadera,784734,240209,302152290.92499983,17279884.164389953,0.4113826296648989,2.607714223061411
102,REGION 0,2018-04-01,Reemplazo Articular Hombro,784734,240209,302152290.92499983,17279884.164389953,0.095129991938849,1.6634223196492568
103,REGION 0,2018-04-01,Reemplazo Articular Rodilla,784734,240209,302152290.92499983,17279884.164389953,0.7462116249714815,3.1084784272277166
104,REGION 0,2018-04-01,Resonancia Nuclear Magnetica (RNM),784734,240209,302152290.92499983,17279884.164389953,1.8638268744412303,0.7256943478045145
105,REGION 0,2018-04-01,Sangre Total,784734,240209,302152290.92499983,17279884.164389953,0.654752636143694,0.28011462613806104
106,REGION 0,2018-04-01,Terapias Rehabilitacion,784734,240209,302152290.92499983,17279884.164389953,1.4464480764386582,0.2731651040699593
107,REGION 0,2018-04-01,Tomografia Axial Computarizada (TAC),784734,240209,302152290.92499983,17279884.164389953,2.4349413262685498,0.63795625725698
108,REGION 0,2018-04-01,Trasplante Renal,784734,240209,302152290.92499983,17279884.164389953,0.0011351891423690688,0.018258224244938875
109,REGION 0,2018-04-01,Trasplante de Cornea,784734,240209,302152290.92499983,17279884.164389953,0.005507401565302232,0.09630122425411226
110,REGION 0,2018-04-01,Tratamiento a Politraumatismo (Trauma Mayor),784734,240209,302152290.92499983,17279884.164389953,0.02765631852208669,0.23557541441190466
111,REGION 0,2018-04-01,Tratamiento a Quemaduras Graves (3er Grado),784734,240209,302152290.92499983,17279884.164389953,0.003895717607821081,0.05381112460905362
112,REGION 0,2018-04-01,Tratamiento de la Gingivitis,784734,240209,302152290.92499983,17279884.164389953,0.000854734542006518,0.01494570203961304
113,REGION 0,2018-04-01,Tratamiento de la Osteomielitis,784734,240209,302152290.92499983,17279884.164389953,1.456219307995307e-05,0.00025463133653797485
114,REGION 0,2018-04-01,Tratamiento del Cancer Adultos,784734,240209,302152290.92499983,17279884.164389953,14.255620226520719,2.6067042864377847
115,REGION 0,2018-04-01,Tratamiento del Cancer Pediatricos,784734,240209,302152290.92499983,17279884.164389953,0.2702899513023112,1.354773856790619
116,REGION 0,2018-04-01,Valvuloplastia Mitral,784734,240209,302152290.92499983,17279884.164389953,1.0363514274254717,10.557231823112767
117,REGION 0,2019-04-01,Angiosplastia,766110,215150,288484643.03999984,11100272.22403472,3.2725496132184007,16.332539880489175
118,REGION 0,2019-04-01,Aparatos y Protesis,766110,215150,288484643.03999984,11100272.22403472,0.08498159119201623,0.07738109716414437
119,REGION 0,2019-04-01,Aplicacion de Cariostaticos,766110,215150,288484643.03999984,11100272.22403472,0.0001878297556119368,0.0048815019043113635
120,REGION 0,2019-04-01,Atencion de Prematuros,766110,215150,288484643.03999984,11100272.22403472,0.23234072806678446,1.0013588274781218
121,REGION 0,2019-04-01,Atencion de partos normal,766110,215150,288484643.03999984,11100272.22403472,1.3748222914763863,0.7922315781085449
122,REGION 0,2019-04-01,Atencion de partos por Cesarea,766110,215150,288484643.03999984,11100272.22403472,3.3117619050090297,1.6642895877647643
123,REGION 0,2019-04-01,Atencion en Unidad de Cuidados Intensivos,766110,215150,288484643.03999984,11100272.22403472,1.083433782493104,3.715847860132511
124,REGION 0,2019-04-01,Biopsias,766110,215150,288484643.03999984,11100272.22403472,1.8313549880252933,0.2071071521309703
125,REGION 0,2019-04-01,Cirugia General,766110,215150,288484643.03999984,11100272.22403472,3.081799365925792,2.346133135720305
126,REGION 0,2019-04-01,Cirugia de Corazon Abierto para By Pass,766110,215150,288484643.03999984,11100272.22403472,2.1261796660522867,6.5301922769554785
127,REGION 0,2019-04-01,Cirugias Cardiovasculares,766110,215150,288484643.03999984,11100272.22403472,0.06133494945707251,0.8132319025883166
128,REGION 0,2019-04-01,Cirugias Dermatologicas,766110,215150,288484643.03999984,11100272.22403472,0.1923384982135999,0.2750236620673409
129,REGION 0,2019-04-01,Cirugias Endocrinologicas,766110,215150,288484643.03999984,11100272.22403472,0.0034116200766483628,0.08866449219767546
130,REGION 0,2019-04-01,Cirugias Gastricas,766110,215150,288484643.03999984,11100272.22403472,0.04241126276625946,0.3985336902641276
131,REGION 0,2019-04-01,Cirugias Ginecologicas,766110,215150,288484643.03999984,11100272.22403472,1.1314853038979296,1.821410276256336
132,REGION 0,2019-04-01,Cirugias Menores,766110,215150,288484643.03999984,11100272.22403472,0.09705887878446844,0.11617351348866985
133,REGION 0,2019-04-01,Cirugias Oftalmologicas,766110,215150,288484643.03999984,11100272.22403472,3.7710405224210106,4.092211909600543
134,REGION 0,2019-04-01,Cirugias Ortopedicas,766110,215150,288484643.03999984,11100272.22403472,1.221654897419042,3.988563728931859
135,REGION 0,2019-04-01,Cirugias Otorrinolaringologicas,766110,215150,288484643.03999984,11100272.22403472,0.23599218066717104,1.0477877447535602
136,REGION 0,2019-04-01,Cirugias Pediatricas,766110,215150,288484643.03999984,11100272.22403472,0.13352414046753627,0.19634442578320935
137,REGION 0,2019-04-01,Cirugias Urologicas,766110,215150,288484643.03999984,11100272.22403472,0.17939069981213654,1.165078977532858
138,REGION 0,2019-04-01,Cirugias Vasculares,766110,215150,288484643.03999984,11100272.22403472,0.1698719296929963,3.2421737749886232
139,REGION 0,2019-04-01,Columna: Cirugia Escoliosis,766110,215150,288484643.03999984,11100272.22403472,0.03476150374704536,0.9034156818502757
140,REGION 0,2019-04-01,Columna: Espondiolistesis Total,766110,215150,288484643.03999984,11100272.22403472,0.05757152209206904,1.4962245668208625
141,REGION 0,2019-04-01,Consulta de Urgencia,766110,215150,288484643.03999984,11100272.22403472,0.0018527849329085047,0.04815197224106638
142,REGION 0,2019-04-01,Consulta medica nivel 2,766110,215150,288484643.03999984,11100272.22403472,8.542787491319906,0.11473544331835407
143,REGION 0,2019-04-01,Consulta medica nivel 3,766110,215150,288484643.03999984,11100272.22403472,0.4159874811199588,0.04066802810525755
144,REGION 0,2019-04-01,Consulta medicina general,766110,215150,288484643.03999984,11100272.22403472,0.0028424389990364327,0.01285688578138518
145,REGION 0,2019-04-01,Derivados de la Sangre,766110,215150,288484643.03999984,11100272.22403472,0.02022152700582797,0.10092600128540652
146,REGION 0,2019-04-01,Desconocido,766110,215150,288484643.03999984,11100272.22403472,0.1374839318379268,0.18226420271172547
147,REGION 0,2019-04-01,"Detec., control de placa Bacteriana y enseNanza higiene bucal",766110,215150,288484643.03999984,11100272.22403472,0.0002491640429887058,0.006475516865646121
148,REGION 0,2019-04-01,Dialisis Peritoneal,766110,215150,288484643.03999984,11100272.22403472,0.12028040603599408,0.9377310564926414
149,REGION 0,2019-04-01,Ecografias,766110,215150,288484643.03999984,11100272.22403472,2.76221636480494,0.15569268057648591
150,REGION 0,2019-04-01,Emergencia,766110,215150,288484643.03999984,11100272.22403472,0.4363455838533014,0.05132929005820139
151,REGION 0,2019-04-01,Extraccion  dentaria,766110,215150,288484643.03999984,11100272.22403472,5.199583534822743e-05,0.001351318210694099
152,REGION 0,2019-04-01,Hematologia,766110,215150,288484643.03999984,11100272.22403472,0.0011813453791117273,0.02437778052092154
153,REGION 0,2019-04-01,Hemodialisis Renal,766110,215150,288484643.03999984,11100272.22403472,3.4372800248591013,4.98148893136152
154,REGION 0,2019-04-01,Hospitalizacion general y especialidades basicas,766110,215150,288484643.03999984,11100272.22403472,13.340954362227052,2.552044540424029
155,REGION 0,2019-04-01,Laboratorios,766110,215150,288484643.03999984,11100272.22403472,12.296337096557837,0.2779304326683553
156,REGION 0,2019-04-01,Neumologia,766110,215150,288484643.03999984,11100272.22403472,0.0295624401705761,0.4250708065024035
157,REGION 0,2019-04-01,Neurocirugias,766110,215150,288484643.03999984,11100272.22403472,0.5993436121174267,4.90345005365604
158,REGION 0,2019-04-01,Otros Medios Dx,766110,215150,288484643.03999984,11100272.22403472,3.4496611483822166,0.3511312617525781
159,REGION 0,2019-04-01,Programa Ampliado de Inmunizacion (PAI),766110,215150,288484643.03999984,11100272.22403472,0.0014295388331739328,0.005538152466827982
160,REGION 0,2019-04-01,Rayos X,766110,215150,288484643.03999984,11100272.22403472,2.101189708444732,0.1599951276025532
161,REGION 0,2019-04-01,Reemplazo Articular Cadera,766110,215150,288484643.03999984,11100272.22403472,0.15289317495449584,1.5729504028614043
162,REGION 0,2019-04-01,Reemplazo Articular Hombro,766110,215150,288484643.03999984,11100272.22403472,0.00015910725616557594,0.0013783445749079807
163,REGION 0,2019-04-01,Reemplazo Articular Rodilla,766110,215150,288484643.03999984,11100272.22403472,0.12020859632098913,2.5028771312332365
164,REGION 0,2019-04-01,Resonancia Nuclear Magnetica (RNM),766110,215150,288484643.03999984,11100272.22403472,2.569514675681435,1.1745553691075172
165,REGION 0,2019-04-01,Sangre Total,766110,215150,288484643.03999984,11100272.22403472,0.6499819089988812,0.41208148508904974
166,REGION 0,2019-04-01,Terapias Rehabilitacion,766110,215150,288484643.03999984,11100272.22403472,2.239406899418296,0.7197421817996467
167,REGION 0,2019-04-01,Tomografia Axial Computarizada (TAC),766110,215150,288484643.03999984,11100272.22403472,2.733909592860525,0.8417300041737747
168,REGION 0,2019-04-01,Trasplante Renal,766110,215150,288484643.03999984,11100272.22403472,0.04989821935860925,0.6490908380065927
169,REGION 0,2019-04-01,Trasplante de Cornea,766110,215150,288484643.03999984,11100272.22403472,0.22164091414437745,1.9649968541106453
170,REGION 0,2019-04-01,Tratamiento a Politraumatismo (Trauma Mayor),766110,215150,288484643.03999984,11100272.22403472,0.0379381719757002,0.1306741976584997
171,REGION 0,2019-04-01,Tratamiento a Quemaduras Graves (3er Grado),766110,215150,288484643.03999984,11100272.22403472,0.03910083005158777,0.36218581720560267
172,REGION 0,2019-04-01,Tratamiento de la Gingivitis,766110,215150,288484643.03999984,11100272.22403472,0.0001869458264110169,0.0048585294947295615
173,REGION 0,2019-04-01,Tratamiento de la Osteomielitis,766110,215150,288484643.03999984,11100272.22403472,0.00014618802427605304,0.003799276193306815
174,REGION 0,2019-04-01,Tratamiento del Cancer Adultos,766110,215150,288484643.03999984,11100272.22403472,18.694961753136386,5.8480349514220515
175,REGION 0,2019-04-01,Tratamiento del Cancer Pediatricos,766110,215150,288484643.03999984,11100272.22403472,0.3509656594994605,1.7761948713787172
176,REGION 0,2019-04-01,Valvuloplastia Mitral,766110,215150,288484643.03999984,11100272.22403472,0.7105692450033722,14.384839018115649
177,REGION 0,2017-08-01,Angiosplastia,786419,240010,312677842.01199985,12669930.734219676,2.636078196958924,16.978537300576292
178,REGION 0,2017-08-01,Aparatos y Protesis,786419,240010,312677842.01199985,12669930.734219676,0.3693074132050852,0.20808842138116693
179,REGION 0,2017-08-01,Aplicacion de Cariostaticos,786419,240010,312677842.01199985,12669930.734219676,0.006901672296680302,0.038623270871165134
180,REGION 0,2017-08-01,Atencion de Prematuros,786419,240010,312677842.01199985,12669930.734219676,0.39098480792031387,0.7544847230406839
181,REGION 0,2017-08-01,Atencion de partos normal,786419,240010,312677842.01199985,12669930.734219676,1.9363274196345643,0.8489438751565095
182,REGION 0,2017-08-01,Atencion de partos por Cesarea,786419,240010,312677842.01199985,12669930.734219676,4.784796287683808,1.6790798171650911
183,REGION 0,2017-08-01,Atencion en Unidad de Cuidados Intensivos,786419,240010,312677842.01199985,12669930.734219676,1.3416173058527787,3.5287204464065027
184,REGION 0,2017-08-01,Biopsias,786419,240010,312677842.01199985,12669930.734219676,1.1875404589294487,0.12723983553389265
185,REGION 0,2017-08-01,Cirugia General,786419,240010,312677842.01199985,12669930.734219676,2.7041717812787964,1.8186407616934597
186,REGION 0,2017-08-01,Cirugia de Corazon Abierto para By Pass,786419,240010,312677842.01199985,12669930.734219676,2.3345965908642325,5.779246396179267
187,REGION 0,2017-08-01,Cirugias Cardiovasculares,786419,240010,312677842.01199985,12669930.734219676,0.12704209145231182,1.5767842318224323
188,REGION 0,2017-08-01,Cirugias Dermatologicas,786419,240010,312677842.01199985,12669930.734219676,0.2842586204000633,0.33053629196999584
189,REGION 0,2017-08-01,Cirugias Endocrinologicas,786419,240010,312677842.01199985,12669930.734219676,0.0007606039445253457,0.018770741923448037
190,REGION 0,2017-08-01,Cirugias Gastricas,786419,240010,312677842.01199985,12669930.734219676,0.041345315410945736,0.4280634838695683
191,REGION 0,2017-08-01,Cirugias Ginecologicas,786419,240010,312677842.01199985,12669930.734219676,1.477206050252431,1.4702619578153613
192,REGION 0,2017-08-01,Cirugias Menores,786419,240010,312677842.01199985,12669930.734219676,0.07406891339332956,0.1559373140139826
193,REGION 0,2017-08-01,Cirugias Oftalmologicas,786419,240010,312677842.01199985,12669930.734219676,3.214571632362184,2.671376577233349
194,REGION 0,2017-08-01,Cirugias Ortopedicas,786419,240010,312677842.01199985,12669930.734219676,2.6046395701066167,3.7365072472983054
195,REGION 0,2017-08-01,Cirugias Otorrinolaringologicas,786419,240010,312677842.01199985,12669930.734219676,0.3920500928725722,1.0686352000387251
196,REGION 0,2017-08-01,Cirugias Pediatricas,786419,240010,312677842.01199985,12669930.734219676,0.17801819323629528,0.2586261037601799
197,REGION 0,2017-08-01,Cirugias Urologicas,786419,240010,312677842.01199985,12669930.734219676,0.16697863098977214,0.8068351812593987
198,REGION 0,2017-08-01,Cirugias Vasculares,786419,240010,312677842.01199985,12669930.734219676,0.0971648096472216,1.3667913974116823
199,REGION 0,2017-08-01,Columna: Cirugia Escoliosis,786419,240010,312677842.01199985,12669930.734219676,0.475804326404077,5.33291865736166
200,REGION 0,2017-08-01,Columna: Espondiolistesis Total,786419,240010,312677842.01199985,12669930.734219676,0.6376242803682538,7.390074023618303
201,REGION 0,2017-08-01,Consulta medica nivel 2,786419,240010,312677842.01199985,12669930.734219676,7.534058009488219,0.09999555457775428
202,REGION 0,2017-08-01,Consulta medica nivel 3,786419,240010,312677842.01199985,12669930.734219676,0.5928530106488512,0.040462844635854936
203,REGION 0,2017-08-01,"Consulta, diagnostico, fichado y plan de tratamiento",786419,240010,312677842.01199985,12669930.734219676,0.002578462211495814,0.06363318134190689
204,REGION 0,2017-08-01,Derivados de la Sangre,786419,240010,312677842.01199985,12669930.734219676,0.012369280711140287,0.08102167611837913
