municipio,gruposDeServicios,subgrupoDeServicios,cantidadServicios,poblacionUsuaria,valorAutorizado
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Cadera,6,4,259822.13
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Rodilla,3,3,205948.29
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Politraumatismo (Trauma Mayor),3,3,5089.0
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Quemaduras Graves (3er Grado),1,1,150.0
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,4591,174,5176280.73
AZUA DE COMPOSTELA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Pediatricos,4,4,57186.0
AZUA DE COMPOSTELA,Cirugia,Cirugia General,204,75,548058.41
AZUA DE COMPOSTELA,Cirugia,Cirugias Cardiovasculares,1,1,200.0
AZUA DE COMPOSTELA,Cirugia,Cirugias Dermatologicas,126,46,59584.729999999996
AZUA DE COMPOSTELA,Cirugia,Cirugias Gastricas,3,3,7530.0
AZUA DE COMPOSTELA,Cirugia,Cirugias Ginecologicas,205,102,456917.01999999996
AZUA DE COMPOSTELA,Cirugia,Cirugias Menores,53,46,26219.820000000003
AZUA DE COMPOSTELA,Cirugia,Cirugias Oftalmologicas,354,86,1038390.9099999999
AZUA DE COMPOSTELA,Cirugia,Cirugias Ortopedicas,89,33,272247.75
AZUA DE COMPOSTELA,Cirugia,Cirugias Otorrinolaringologicas,21,11,43196.3
AZUA DE COMPOSTELA,Cirugia,Cirugias Pediatricas,19,9,23159.690000000002
AZUA DE COMPOSTELA,Cirugia,Cirugias Urologicas,67,24,156707.51
AZUA DE COMPOSTELA,Cirugia,Cirugias Vasculares,1,1,200.0
AZUA DE COMPOSTELA,Cirugia,Hematologia,1,1,702.0
AZUA DE COMPOSTELA,Cirugia,Neumologia,30,9,124542.0
AZUA DE COMPOSTELA,Cirugia,Neurocirugias,20,7,491159.38
AZUA DE COMPOSTELA,Desconocido,Desconocido,574,126,402104.48
AZUA DE COMPOSTELA,Emergencia,Emergencia,5235,3059,1157630.0
AZUA DE COMPOSTELA,Hemoterapia,Derivados de la Sangre,7,6,1950.0
AZUA DE COMPOSTELA,Hemoterapia,Sangre Total,453,411,226290.0
AZUA DE COMPOSTELA,Hospitalizacion,Hospitalizacion general y especialidades basicas,6009,408,4092191.8599999994
AZUA DE COMPOSTELA,Partos,Atencion de partos normal,368,71,297968.49
AZUA DE COMPOSTELA,Partos,Atencion de partos por Cesarea,477,74,532676.4299999999
AZUA DE COMPOSTELA,Rehabilitacion,Aparatos y Protesis,17,15,76875.0
AZUA DE COMPOSTELA,Rehabilitacion,Terapias Rehabilitacion,2569,423,1099315.0
BAITOA (D.M.),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,7,4,988.0
BAITOA (D.M.),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,13,12,6168.0
BAITOA (D.M.),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,309,56,25312.0
BAITOA (D.M.),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,9,8,3234.0
BAITOA (D.M.),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,12,9,5246.0
BAITOA (D.M.),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),12,7,17800.0
BAITOA (D.M.),Atencion Ambulatoria,Consulta medica nivel 2,97,74,19600.0
BAITOA (D.M.),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,31,3,140378.31
BAITOA (D.M.),Cirugia,Cirugia General,2,2,14508.0
BAITOA (D.M.),Cirugia,Cirugias Dermatologicas,1,1,1050.0
BAITOA (D.M.),Cirugia,Cirugias Menores,3,1,716.71
BAITOA (D.M.),Cirugia,Cirugias Oftalmologicas,4,1,14000.0
BAITOA (D.M.),Cirugia,Cirugias Ortopedicas,12,1,33630.0
BAITOA (D.M.),Desconocido,Desconocido,11,2,7040.0
BAITOA (D.M.),Emergencia,Emergencia,49,39,13907.0
BAITOA (D.M.),Hemoterapia,Sangre Total,4,4,280.0
BAITOA (D.M.),Hospitalizacion,Hospitalizacion general y especialidades basicas,15,1,4523.65
BAITOA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,10,6,5850.0
BAITOA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,39,31,12337.0
BAITOA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,976,156,72911.0
BAITOA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,41,39,9811.0
BAITOA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,34,30,9184.0
BAITOA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),7,6,26000.0
BAITOA (DM),Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),31,16,47930.0
BAITOA (DM),Atencion Ambulatoria,Consulta medica nivel 2,283,203,56700.0
BAITOA (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,28,3,16765.6
BAITOA (DM),Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,65,7,188313.87
BAITOA (DM),Cirugia,Cirugia General,3,3,2811.0
BAITOA (DM),Cirugia,Cirugias Dermatologicas,3,1,1241.82
BAITOA (DM),Cirugia,Cirugias Menores,5,4,2670.41
BAITOA (DM),Cirugia,Cirugias Oftalmologicas,8,2,28000.0
BAITOA (DM),Cirugia,Cirugias Urologicas,1,1,623.7
BAITOA (DM),Desconocido,Desconocido,7,3,4480.0
BAITOA (DM),Emergencia,Emergencia,181,138,50216.0
BAITOA (DM),Hemoterapia,Sangre Total,7,7,520.0
BAITOA (DM),Hospitalizacion,Hospitalizacion general y especialidades basicas,81,13,23989.269999999997
BAITOA (DM),Rehabilitacion,Terapias Rehabilitacion,6,1,1026.0
BAJOS DE HAINA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Biopsias,842,699,357690.0
BAJOS DE HAINA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Ecografias,1971,1719,694044.5
BAJOS DE HAINA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Laboratorios,27798,3997,2572157.98
BAJOS DE HAINA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Otros Medios Dx,1009,838,841438.5
BAJOS DE HAINA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Rayos X,1760,1510,587953.5
BAJOS DE HAINA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Resonancia Nuclear Magnetica (RNM),208,155,660452.0
BAJOS DE HAINA,Apoyo Diagnostico (Dx) en Internamiento y Ambulatorio,Tomografia Axial Computarizada (TAC),461,329,692499.0
BAJOS DE HAINA,Atencion Ambulatoria,Consulta medica nivel 2,9174,7137,2121790.0
BAJOS DE HAINA,Atencion Ambulatoria,Consulta medica nivel 3,334,292,101404.0
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Angiosplastia,40,3,835471.5
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion de Prematuros,60,3,48314.759999999995
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Atencion en Unidad de Cuidados Intensivos,403,29,442500.5099999999
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Cirugia de Corazon Abierto para By Pass,50,7,377506.0
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Hemodialisis Renal,743,40,488955.1
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Cadera,2,2,670193.2
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Reemplazo Articular Rodilla,2,2,69102.7
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Politraumatismo (Trauma Mayor),5,4,5353.0
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento a Quemaduras Graves (3er Grado),1,1,2053.0
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Adultos,5151,162,3413193.05
BAJOS DE HAINA,Atenciones de Alto Costo y de Maximo Nivel de Complejidad,Tratamiento del Cancer Pediatricos,4,4,4940.0
BAJOS DE HAINA,Cirugia,Cirugia General,239,88,444666.50000000006
BAJOS DE HAINA,Cirugia,Cirugias Cardiovasculares,1,1,200.0
BAJOS DE HAINA,Cirugia,Cirugias Dermatologicas,103,37,59386.170000000006
BAJOS DE HAINA,Cirugia,Cirugias Endocrinologicas,1,1,3421.0
BAJOS DE HAINA,Cirugia,Cirugias Ginecologicas,201,84,386268.12499999994
BAJOS DE HAINA,Cirugia,Cirugias Menores,26,23,17978.879999999997
BAJOS DE HAINA,Cirugia,Cirugias Oftalmologicas,280,66,865271.92
BAJOS DE HAINA,Cirugia,Cirugias Ortopedicas,144,34,638546.81
BAJOS DE HAINA,Cirugia,Cirugias Otorrinolaringologicas,19,17,63390.9
BAJOS DE HAINA,Cirugia,Cirugias Pediatricas,16,8,11163.62
BAJOS DE HAINA,Cirugia,Cirugias Urologicas,7,5,1622.4
BAJOS DE HAINA,Cirugia,Hematologia,1,1,702.0
BAJOS DE HAINA,Cirugia,Neumologia,15,3,371252.48
BAJOS DE HAINA,Cirugia,Neurocirugias,29,4,273212.0
BAJOS DE HAINA,Desconocido,Desconocido,132,43,102865.70999999999
BAJOS DE HAINA,Emergencia,Emergencia,3749,2248,906113.0
BAJOS DE HAINA,Hemoterapia,Derivados de la Sangre,15,15,1050.0
BAJOS DE HAINA,Hemoterapia,Sangre Total,178,148,156300.0
BAJOS DE HAINA,Hospitalizacion,Hospitalizacion general y especialidades basicas,6241,473,3154698.05
BAJOS DE HAINA,Partos,Atencion de partos normal,267,73,260580.09
BAJOS DE HAINA,Partos,Atencion de partos por Cesarea,433,73,538298.53
BAJOS DE HAINA,Rehabilitacion,Aparatos y Protesis,91,79,45160.01
BAJOS DE HAINA,Rehabilitacion,Terapias Rehabilitacion,791,164,335020.0
BAJOS DE HAINA,Servicios Odontologicos,"Detec., control de placa Bacteriana y enseNanza higiene bucal",1,1,5046.43
BAJOS DE HAINA,Servicios Odontologicos,Extraccion de cuerpo extraNo,1,1,1500.0
BAJOS DE HAINA,Servicios Odontologicos,Tratamiento de la Gingivitis,2,2,34678.95
BAJOS DE HAINA,Servicios Odontologicos,Tratamiento de la Osteomielitis,1,1,200.0
